customer_key,customer_id,first_name,last_name,email,customer_segment,country,city,postal_code,effective_date,end_date,is_current,version
1,CUST_0001,Mary,Smith,cust_1@example.com,Premium,Canada,Sample City,39256,2025-01-01,9999-12-31,True,1
2,CUST_0002,John,Johnson,cust_2@example.com,Premium,Japan,Sample City,21395,2025-01-01,9999-12-31,True,1
3,CUST_0003,Elizabeth,Miller,cust_3@example.com,Standard,United States,Sample City,38657,2025-01-01,9999-12-31,True,1
4,CUST_0004,Patricia,Rodriguez,cust_4@example.com,Premium,Japan,Sample City,36062,2025-01-01,9999-12-31,True,1
5,CUST_0005,William,Miller,cust_5@example.com,Standard,Japan,Sample City,46463,2025-01-01,9999-12-31,True,1
6,CUST_0006,James,Williams,cust_6@example.com,Premium,United Kingdom,Sample City,46421,2025-01-01,9999-12-31,True,1
7,CUST_0007,John,Brown,cust_7@example.com,VIP,United Kingdom,Sample City,23396,2025-01-01,9999-12-31,True,1
8,CUST_0008,Mary,Miller,cust_8@example.com,Standard,United Kingdom,Sample City,89131,2025-01-01,9999-12-31,True,1
9,CUST_0009,Robert,Smith,cust_9@example.com,Premium,Japan,Sample City,26361,2025-01-01,9999-12-31,True,1
10,CUST_0010,Michael,Johnson,cust_10@example.com,Standard,Australia,Sample City,91070,2025-01-01,9999-12-31,True,1
11,CUST_0011,Jennifer,Martinez,cust_11@example.com,Standard,United States,Sample City,16006,2025-01-01,9999-12-31,True,1
12,CUST_0012,Patricia,Jones,cust_12@example.com,VIP,Canada,Sample City,23238,2025-01-01,9999-12-31,True,1
13,CUST_0013,Michael,Jones,cust_13@example.com,Standard,United Kingdom,Sample City,31319,2025-01-01,9999-12-31,True,1
14,CUST_0014,Jennifer,Garcia,cust_14@example.com,Standard,United Kingdom,Sample City,99593,2025-01-01,9999-12-31,True,1
15,CUST_0015,Mary,Martinez,cust_15@example.com,Premium,Japan,Sample City,42087,2025-01-01,9999-12-31,True,1
16,CUST_0016,John,Davis,cust_16@example.com,Standard,Australia,Sample City,83000,2025-01-01,9999-12-31,True,1
17,CUST_0017,Patricia,Garcia,cust_17@example.com,Premium,United States,Sample City,40021,2025-01-01,9999-12-31,True,1
18,CUST_0018,James,Garcia,cust_18@example.com,Standard,United States,Sample City,37653,2025-01-01,9999-12-31,True,1
19,CUST_0019,Elizabeth,Garcia,cust_19@example.com,Standard,Germany,Sample City,61856,2025-01-01,9999-12-31,True,1
20,CUST_0020,Linda,Williams,cust_20@example.com,Standard,Canada,Sample City,83579,2025-01-01,9999-12-31,True,1
